#,FORM #,Image,,INCIDENT TITLE,INCIDENT DATE,LOCATION,DESCRIPTION,CATEGORY,LATITUDE,LONGITUDE,Accessibility-1,What do you know about this submission?-1,Is this temporary?-1,FIRST NAME,LAST NAME,EMAIL,APPROVED,VERIFIED
243,1,,,interesting sculpture,41914.76667,City Hall,#openartyeg interesting sculpture in #yeg city hall http://t.co/JW6fgJ0jeL,Public Art,53.545633,-113.490369,Exterior,I don't know anything about it,Permanent,,,,YES,YES
242,1,,,Ultima,41914.76736,City Hall,Ultima #openartyeg city hall http://t.co/LsgakHDi1X,Public Art,53.545576,-113.490316,Interior,I don't know anything about it,Permanent,,,,YES,YES
241,1,,,little meadow by Hendrick bres,41914.76875,City Hall,#openartyeg Hendrick bres little meadow 1991 acrylic on canvas http://t.co/Z9JYBw96ij,Public Art,53.545679,-113.490298,Exterior,I don't know anything about it,Permanent,,,,YES,YES
240,1,,,Genesis by Jim Davis,41914.76944,City Hall,Genesis by Jim Davis 1992 city hall #openartyeg http://t.co/thRVOKrXmi,Public Art,53.545564,-113.490387,Interior,I don't know anything about it,Permanent,,,,YES,YES
239,1,,,gifts of relationship,41914.77014,City Hall,#openartyeg gifts of relationship http://t.co/agQvTXpj6u,"Public Art,Mainly Historical",53.545534,-113.490308,Interior,I don't know anything about it,Permanent,,,,YES,YES
238,1,,,Douglas Haynes Painting,41914.77222,City Hall,#openartyeg Douglas Haynes 1992 acrylic on canvas http://t.co/SnlKV16V1M,Public Art,53.545502,-113.490221,Interior,I don't know anything about it,Permanent,,,,YES,YES
237,1,,,Edmonton Crest,41914.77292,City Hall,#openartyeg #yeg crest http://t.co/RYfaEl6cPU,"Public Art,Mainly Historical",53.545595,-113.490269,Interior,I don't know anything about it,Permanent,,,,YES,YES
236,1,,,HMCS Edmonton Model,41914.77431,City Hall,#openartyeg HMCS Edmonton http://t.co/R1I8Bo7E8N,"Public Art,Mainly Historical",53.545621,-113.490207,Interior,I don't know anything about it,Permanent,,,,YES,YES
235,1,,,Polar Bear Sculpture,41914.77708,City Hall,"Neat #openartyeg in #yeg councilors office, sculpture http://t.co/8keDYuWVpR",Public Art,53.545462,-113.489999,Interior Not Accessible after standard business hours,I don't know anything about it,Permanent,,,,YES,YES
234,1,,,Nice #yeg councilors office art,41914.77708,City Hall,Nice #yeg councilors office art #openartyeg http://t.co/7DSx759yya. Painting,Public Art,53.545519,-113.490331,Exterior,I don't know anything about it,Permanent,,,,YES,YES
233,1,,,Odd buffalos in the citadel parkade,41914.9,Citdel parkade,Odd buffalos in the citadel parkade. #openartyeg #publicart #yegdt http://t.co/fhp9gV5ztb,Weird or Wacky,53.543057,-113.488124,Interior,I don't know anything about it,Permanent,,,,YES,YES
232,1,,,104 st Mural,41915.69028,104 near jasper,#openartyeg mural,Public Art,53.541615,-113.49953,Exterior,I don't know anything about it,Permanent,,,,YES,YES
230,1,,,104 st Murals,41915.69028,104 near Jasper,#openartyeg mural http://t.co/INbCyYXoZT,Public Art,53.541715,-113.499559,Exterior,I don't know anything about it,Permanent,,,,YES,YES
229,1,,,neon sign museum,41915.76806,104 and 104,#openartyeg neon sign museum http://t.co/hXr8Jj9sZy,"Public Art,Mainly Historical",53.545444,-113.489752,Exterior,I don't know anything about it,Permanent,,,,YES,YES
228,1,,,Decorative detail on building,41915.76944,105 and 104,#openartyeg cool something? http://t.co/YDQ1St56Gz,Weird or Wacky,53.546087,-113.5014,Exterior,I don't know anything about it,Permanent,,,,YES,YES
227,1,,,Grant MacEwan sculpture,41915.77153,Grant MacEwan,@grantmacewan #openartyeg http://t.co/eqOilBZq8S,"Public Art,Weird or Wacky",53.545444,-113.489752,Exterior,I don't know anything about it,Permanent,,,,YES,YES
226,1,,,I think these maple leaf metal hanging sculptures...,41916.45903,Century park LRT,I think these maple leaf metal hanging sculptures at Century Park r my fav #ETS public art #openartyeg http://t.co/Te8KOVxfk5,"Public Art,Trusted Reports",53.457753,-113.516179,Exterior,I don't know anything about it,Permanent,,,,YES,YES
224,1,,,colour theory installation at Eastglen High school,41915.69514,eastglen high school,#openartyeg colour theory installation at Eastglen http://t.co/sGExWkzHiv,"Public Art,Trusted Reports",53.568882,-113.446029,Interior Not Accessible after standard business hours,I know more and would like to talk about it,Temporary,,,,YES,YES
223,1,,,@EPLdotCA rainbow lights,41914.82292,Churchill Square,#openartyeg @EPLdotCA rainbow lights http://t.co/g7jEDrhLri,"Public Art,Trusted Reports",53.543214,-113.489788,Exterior,I don't know anything about it,Temporary,,,,YES,YES
221,1,,,#beforeidie interacive chalk board art,41914.80625,103a and 95,#openartyeg #beforeidie http://t.co/nAT49O2Lew,"Public Art,Trusted Reports",53.548013,-113.480153,Exterior,I don't know anything about it,Temporary,,,,YES,YES
220,1,,,60 ft. YEG Mural,41914.59375,11629 105 ave,"We (FREE Advertising Inc.) commissioned local artist Jill Stanton to illustrate a 60 ft. mural of Edmonton's top landmarks and hidden gems along our main hallway. It's rad. Visitors are welcome, just call ahead incase we have clients in-house.","Public Art,Mainly Historical,Weird or Wacky,Trusted Reports",53.548441,-113.522597,Interior Not Accessible after standard business hours,I know more and would like to talk about it,Permanent,Mandy,,mandy@wearefree.ca,YES,YES
219,0,,,HARCOURT HOUSE ARTIST RUN CENTRE SCULPTURE,41914.36181,"10240, 112 Street NW, Edmonton, Alberta, T5K 2V9, Canada","Taken from the harcourt house site, this is a neat little sculpture in front of the building.
Harcourt House Gallery is open to the public Monday through Friday from 10am to 5pm and on Saturdays from 12pm to 4pm. The gallery annually presents a minimum of 10 five-week exhibitions, from local, provincial and national artists, collectives and arts organizations.","Weird or Wacky,Public Art,Mainly Historical,Trusted Reports",53.543926,-113.514074,Exterior,I don't know anything about it,,,,,YES,NO
218,1,,,St. Gerard elementary school art,41912.59792,St. Gerard elementary school,@OpenEdmonton add this to the #openartyeg map! North of St. Gerard elementary school 12415 - 85 Street #yeg,"Public Art,Weird or Wacky",53.579967,-113.471493,Exterior,I don't know anything about it,Temporary,,,,YES,YES
217,1,,,EPCOR  waterfall,41912.54514,Churchill Square,@EPCOR  waterfall in @churchillsquare,Public Art,53.543762,-113.490078,Exterior,I don't know anything about it,Permanent,,,,YES,YES
216,1,,,Kids in the hall art,41912.53611,Kids in the hall,More @kithbistro #openartyeg murals http://t.co/rjl08apwZv,Public Art,53.544946,-113.490543,Interior,I don't know anything about it,Temporary,,,,YES,YES
215,1,,,@KITHBistro temporary art on display from ihuman,41912.53542,Kids in the hall,#openartyeg at @KITHBistro temporary art on display from ihuman http://t.co/YWByWyfSJL,Public Art,53.544932,-113.490523,Exterior,I don't know anything about it,Temporary,,,,YES,YES
214,1,,,Lucas mural in @EPLdotCA,41912.49722,EPL,Lucas mural in @EPLdotCA #openartyeg http://t.co/1S4CkmOYB2,Public Art,53.543123,-113.4897,Interior,I don't know anything about it,Permanent,,,,YES,YES
213,1,,,#Highlands mural 112 ave & 65 st,41913.76528,Highlands,#Highlands mural 112 ave &amp; 65 st #openartyeg http://t.co/ldLncbJztR,"Weird or Wacky,Trusted Reports",53.564962,-113.437581,Exterior,I don't know anything about it,Permanent,,,,YES,YES
212,1,,,churchill square statue,41913.39514,Churchill Square,@churchill square statue #openartyeg http://t.co/yYQteDQv5P,"Public Art,Mainly Historical",53.54482,-113.489636,Exterior,I don't know anything about it,Permanent,,,,YES,YES
211,1,,,Bell tower,41913.39583,Churchill Square,Bell tower @churchillsquare #openartyeg http://t.co/OtIZiveQKn,"Public Art,Mainly Historical",53.544348,-113.490065,Exterior,I don't know anything about it,Permanent,,,,YES,YES
210,1,,,Jill Stanton mural,41913.39792,AGA,Temporary Jill Stanton mural @yourAGA #openartyeg http://t.co/HnNYKikGtb,Public Art,53.54471,-113.489717,Interior Not Accessible after standard business hours,I don't know anything about it,Temporary,,,,YES,YES
209,1,,,Sean caulfield woodcuts @yourAGA,41913.40208,AGA,Sean caulfield woodcuts @yourAGA  #openartyeg http://t.co/Lw909pWt47,Public Art,53.54503,-113.488972,Interior Not Accessible after standard business hours,I don't know anything about it,Permanent,,,,YES,YES
208,1,,,Awesome architecture @youraga,41913.39931,AGA,Awesome architecture @youraga #openartyeg http://t.co/4wYiLtJY8g,"Public Art,Mainly Historical",53.544564,-113.489394,Exterior,I don't know anything about it,,,,,YES,YES
207,1,,,Tons of ideas by vera Hartley @yourAGA  #openartye...,41913.40069,AGA,Tons of ideas by vera Hartley @yourAGA  #openartyeg http://t.co/HXNjhG8Wtl,"Public Art,Trusted Reports",53.544736,-113.488793,Exterior,I don't know anything about it,Temporary,,,,YES,YES
206,0,,,Napenthes Paisleyi,41913.36458,"141 Street SW, Edmonton, Alberta, T6W0W8, Canada","About the Artist - Dan Corsonâ€™s Artwork straddles the disciplines of Art, Theatrical Design, Architecture, Landscape Architecture and sometimes even Magic. His projects have ranged from complex rail stations and busy public intersections to quiet interpretive buildings, meditation chambers and galleries. With a Masters Degree in Art from the University of Washington and a BA in Theatrical Design from San Diego State University, Corsonâ€™s work is infused with drama, passion, layered meanings and often engages the public as co-creators within his environments. He is particularly interested in green design and new technologies and how these tools can help frame and amplify the natural word and our shifting relationship to it. Among his various awards, Corson has been honoured with 8 coveted Public Art Network Year-in-Review National Awards, received the NW Institute for Architecture and Urban Studies (NIAUSI prize) fellowship in Italy, and was recognized by Seattle Homes and Lifestyle as one of the top people that define Seattle Design. He has partnered with architects and landscape architects for 4 AIA Awards and 3 ASLA Awards.
About the Sculpture - The sculpturesâ€™ name, â€œNepenthes Paisleyi,â€ù is derived from a Greek magical potion that would cause the drinker to forget pain, grief, and sorrow. Dan hopes that these sculptures might provide a brief respite from a hectic daily life, transporting us briefly somewhere else. Nepenthes is also the name of a family of beautiful and unusual Carnivorous plants. These tropical pitcher plants, or ""monkey cups,"" collect water in their leaf vases that sometimes monkeys drink from. The water has an enzyme in them that helps dissolve insects (and sometimes small animals) that find their way into the cups providing fertilizer for the plants that normally live in infertile locations. The shapes of the sculptures are inspired by the shape of a Nepenthes. The shapes of the four sculptures are inspired by the shape of a variety of Nepenthes and celebrates the wonderful diversity and creativity of this colourful neighbourhood.","Public Art,Mainly Historical,Weird or Wacky,Trusted Reports",53.41364,-113.56232,Exterior,I know more and would like to talk about it,Permanent,Cody,Price,cody.price@brookfieldrp.com,YES,NO
201,0,,,Nude sculpture,41912.73333,10332-124 St,Two metal sculptures in the front of Douglas Udell Art Gallery,"Public Art,Weird or Wacky,Mainly Historical,Trusted Reports",53.543897,-113.536054,Exterior,I don't know anything about it,Permanent,Luba,Lubchenko,lubarom@yahoo.com,YES,NO
199,1,,,Parking at the Mountain Equipment Co-op,41912.67361,"12328 â€“ 102nd Ave, Edmonton, MEC",Display for arts collective program (Yarn bombing project)at Robertson-Wesley United Church.,"Public Art,Mainly Historical,Weird or Wacky,Trusted Reports",53.543171,-113.535427,Exterior,I'd like to know more,Permanent,Luba,Lubchenko,lubarom@yahoo.com,YES,NO
197,1,,,#openartyeg more cool ornaments in @churchillsquar...,41912.54514,Churchill Square,#openartyeg more cool ornaments in @churchillsquare http://t.co/UjBdVtJuCD,"Public Art,Trusted Reports",53.544178,-113.490049,Exterior,I don't know anything about it,Permanent,,,,YES,YES
195,1,,,Jasper Benches,41911.80139,Jasper,"I love the quotes, font and texture of these benches in #yegDT #openartyeg @ Jasper Avenue http://t.co/BEcgKkDMxZ",Public Art,53.541039,-113.506324,Exterior,I don't know anything about it,Permanent,,,,YES,YES
194,1,,,Hellenic Canadian community cultural centre memorial,41911.75625,Oliver,Hellenic Canadian community cultural centre memorial #openartyeg http://t.co/q1fOOCniIw,"Public Art,Weird or Wacky",53.548385,-113.521754,Exterior,I don't know anything about it,Permanent,,,,YES,YES
193,1,,,Magpie Stencil,41911.84583,South Edmonton,"""@jfranceska: @OpenEdmonton I don't think I've seen one - like this? http://t.co/mncWJcyDLA"" that's going on #openartyeg","Public Art,graffiti",53.520367,-113.511825,Exterior,I don't know anything about it,Temporary,,,,YES,YES
190,1,,,Murals 156st at 100a ave #openartyeg http://t.co/J...,41911.72014,156 and 100a,Murals 156st at 100a ave #openartyeg http://t.co/JKjpuYx3Up,"Public Art,Weird or Wacky,Trusted Reports",53.54083,-113.590232,Exterior,I don't know anything about it,Permanent,,,,YES,YES
184,1,,,Linus Woods painting at highlands school,41911.64375,Linus Woods,#openartyeg Linus Woods painting at highlands school 11509-62 Street http://t.co/qSappOLYKw,"Public Art,Trusted Reports",53.543316,-113.427843,Exterior,I don't know anything about it,,,,,YES,YES
185,1,,,Linus Woods painting,41911.64375,62nd st,"#openartyeg Linus Woods painting at Highlands School, 11509-62 street http://t.co/jVscuqKTJv","Public Art,Trusted Reports",53.568932,-113.435386,Exterior,I don't know anything about it,Permanent,,,,YES,YES
186,1,,,Blue Jar's new metal sculpture sign,41911.64028,Stony Plain Rd,Blue Jar's new metal sculpture sign 15230 Stony Plain rd #openartyeg http://t.co/PGUUinyjHW,"Weird or Wacky,Trusted Reports",53.541873,-113.584785,Exterior,I don't know anything about it,Temporary,,,,YES,YES
187,1,,,"Linus Woods painting, 2014 artist in residence",41911.63958,62nd st,"#openartyeg Linus Woods painting, 2014 artist in residence at Highlands School 11509-62 street http://t.co/92Uix1VfAN","Public Art,Trusted Reports",53.568932,-113.435386,Exterior,I don't know anything about it,Permanent,,,,YES,YES
188,1,,,#openartyeg 6419-112 Ave Mandolin Books yarn bomb...,41911.63611,112 st,#openartyeg 6419-112 Ave Mandolin Books yarn bomb http://t.co/I0UTct6rfT,"Public Art,Trusted Reports",53.565599,-113.437217,Exterior,I don't know anything about it,Temporary,,,,YES,YES
189,1,,,112 Ave yarnbomb,41911.63542,112 st,#openartyeg 6419-112 Ave yarnbomb in front of Mandolin books http://t.co/hlu9Ny3flu,"Public Art,Trusted Reports",53.565446,-113.437217,Exterior,I don't know anything about it,Temporary,,,,YES,YES
145,0,,,High level bridge,41910.96736,High level bridge,awesome lighting pics from @mikefats77,"Public Art,Mainly Historical,Weird or Wacky,Trusted Reports",53.530975,-113.51077,Exterior,I don't know anything about it,Permanent,,,,YES,NO
144,1,,,Building's second floor has been rotated by 45 degrees,41910.92222,CIBC branch,"This building look like the second floor has been rotated by 45 degrees compared to the first floor.
https://www.google.com/maps/@53.5396996,-113.4269152,3a,75y,324.21h,94.1t/data=!3m4!1e1!3m2!1sR48jYUtyyZtfSGsqkt2HMQ!2e0?hl=en
The building is at 5920 Terrace Road just across the road to the North West from Capilano Mall.","Public Art,Mainly Historical,Weird or Wacky,Trusted Reports",53.539941,-113.426109,Exterior,I don't know anything about it,Permanent,,,,YES,YES
182,1,,,Nice painted trashcan,41910.89722,124th Street,Nice painted trashcan #openartyeg http://t.co/Pry5glKhyE,Weird or Wacky,53.552783,-113.536183,Exterior,I don't know anything about it,Temporary,,,,YES,YES
181,1,,,Hockey beaver metal sculpture,41910.88264,Westmount/Inglewood,Hockey beaver #openartyeg by popular demand http://t.co/keS0cYXIGT,Public Art,53.561821,-113.537791,Exterior,I know more and would like to talk about it,Permanent,,,,YES,YES
180,1,,,Metal sculpture,41910.87708,Westmount,Metal sculpture #openartyeg http://t.co/vPxQOIppbD,"Public Art,Weird or Wacky",53.555576,-113.537645,Exterior,I don't know anything about it,Permanent,,,,YES,YES
179,1,,,SoundSprawl by Justin Shaw,41910.87083,124th Street,SoundSprawl by Justin shaw @shop124street #openartyeg http://t.co/NUVSilG4jk,Public Art,53.551689,-113.535883,Exterior,I don't know anything about it,Permanent,,,,YES,YES
178,1,,,Koutouki Mural,41910.8625,Koutouki,@koutouki124 #openartyeg mural http://t.co/R7WSNB2LqW,Public Art,53.55109,-113.54201,Exterior,I don't know anything about it,Permanent,,,,YES,YES
177,1,,,Alexander circle fountatin,41910.84167,Glenora,Alexander circle fountatin #openartyeg http://t.co/b36xIXRfQO,Public Art,53.544476,-113.54997,Exterior,I don't know anything about it,Permanent,,,,YES,YES
176,0,,,Citadel Theatre Public Art,41910.86389,Citadel,sculpture photo by mikefats77,"Public Art,Mainly Historical,Weird or Wacky,Trusted Reports",53.54319,-113.488704,Exterior,I don't know anything about it,Permanent,,,,YES,NO
173,1,,,powerbox art,41910.72292,Prince of Wales Armourie,#openartyeg powerbox art http://t.co/oYKN2n1cDq,Public Art,53.553823,-113.500392,Exterior,I don't know anything about it,Permanent,,,,YES,YES
172,1,,,Concrete poetry deployment at prince of Wales armourie,41910.72083,prince of Wales armourie,Concrete poetry deployment at prince of Wales armourie #openartyeg http://t.co/BdIN2hHBk1,"Public Art,graffiti",53.553865,-113.5003,Exterior,I don't know anything about it,Temporary,,,,YES,YES
143,1,,,Terrifying dental structure,41909.70833,"Edmonton, Alberta, Canada","Terrifying dental structure turned into a sculpture? #openartyeg pushing the boundaries of ""art"" http://t.co/5nkwcq1I1a",Weird or Wacky,53.494097,-113.517544,Exterior,I don't know anything about it,Permanent,,,,YES,YES
142,1,,,Cool BSEC charter school mural,41909.69167,BSEC charter school,Cool BSEC charter school mural #openartyeg http://t.co/BV2RQd1nDD,Public Art,53.544554,-113.500951,Exterior,I don't know anything about it,Permanent,,,,YES,YES
141,1,,,Startup Edmonton chalkboard art,41909.67847,Startup Edmonton,"""@AlisonLMcMahon: This chalk art is amazeballs  @StartupEdmonton http://t.co/sLk3i36mIp"" we're crowdsourcing pics of public art #openartyeg",Weird or Wacky,53.545975,-113.498935,Interior Not Accessible after standard business hours,I don't know anything about it,Temporary,,,,YES,YES
171,1,,,Victim and survivors of violence display,41910.71806,Prince of Wales Armourie,Victim and survivors of violence display in prince of wales armourie #openartyeg http://t.co/Rmss7kVN32,Public Art,53.553995,-113.50002,Interior Not Accessible after standard business hours,I don't know anything about it,,,,,YES,YES
170,1,,,loyal Edmonton regiment military museum display,41910.71736,Prince of Wales Armourie,#openartyeg loyal Edmonton regiment military museum display http://t.co/iyDZbae2tf,Public Art,53.553984,-113.500108,Interior Not Accessible after standard business hours,I don't know anything about it,Permanent,,,,YES,YES
169,1,,,gun sculpture,41910.71597,Prince of Wales Armourie,#openartyeg gun sculpture in prince of Wales armourie http://t.co/0bnTXsVCPp,Public Art,53.553944,-113.500245,Interior Not Accessible after standard business hours,I don't know anything about it,Temporary,,,,YES,YES
168,1,,,1878 phone in the phone museum,41910.71458,Prince of Wales Armourie,1878 phone #openartyeg phone museum in prince of sales armourie http://t.co/ez3vFX2okp Check their hours.,Public Art,53.554067,-113.500846,Interior Not Accessible after standard business hours,I don't know anything about it,Permanent,,,,YES,YES
167,1,,,Sentinel Storage,41909.89444,Sentinel,#openartyeg @sentinelstorage love this statue http://t.co/S03DcWXmI4,Weird or Wacky,53.562487,-113.527212,Exterior,I don't know anything about it,Permanent,,,,YES,YES
139,1,,,pixelated beaver,41908.98542,104 St. and 102 Ave,More tiled art in #yegdt. This pixelated beaver's on the southeast corner of 104 St. and 102 Ave. #openartyeg #LookUp http://t.co/Zv65BH3pYn,Public Art,53.543108,-113.499271,Exterior,I don't know anything about it,Permanent,chris,gusen,,YES,YES
166,1,,,Mural off Whyte,41909.87917,Near Whyte,#openartyeg mural http://t.co/GCocsxXIrO,Public Art,53.521273,-113.497012,Exterior,I don't know anything about it,Permanent,,,,YES,YES
138,1,,,#openartyeg telephone museum in prince of Wales ar...,41910.71875,Armourie,#openartyeg telephone museum in prince of Wales armourie @YEGCityasMuseum http://t.co/D0fZ87Rs3C,"Public Art,Trusted Reports",53.544178,-113.490049,Exterior,I don't know anything about it,Permanent,,,,YES,YES
165,1,,,Artery Mural,41909.82014,Artery,#openartyeg http://t.co/xgJ8iRKzPN,"Public Art,graffiti",53.544095,-113.480103,Exterior,I don't know anything about it,Permanent,Mary Ann Dobson,,,YES,YES
164,1,,,Mural at the Artery,41909.81944,Artery,9535 jasper ave the Artery #openartyeg http://t.co/lxPN1BXay5,"Public Art,graffiti",53.544825,-113.480485,Exterior,I don't know anything about it,Permanent,Mary Ann Dobson,,,YES,YES
163,1,,,Sanctuary mural,41909.81736,Sanctuary,Sanctuary mural #openartyeg http://t.co/tIp2mCVySK,Public Art,53.516258,-113.495679,Exterior,I don't know anything about it,Permanent,,,,YES,YES
162,1,,,Graffiti mural,41909.81458,Chicago Deep Dish Pizza,Graffiti #OpenArtYEG http://t.co/yhLLln12ot,"Public Art,graffiti",53.51781,-113.497764,Exterior,I don't know anything about it,Temporary,,,,YES,YES
161,1,,,Powerbox mural,41909.81319,104 st,Powerbox mural #openartyeg by Revell http://t.co/647NhhvGNa,Public Art,53.517834,-113.497765,Exterior,I don't know anything about it,Permanent,,,,YES,YES
160,1,,,graffiti wall,41909.79306,Graffiti Wall,#openartyeg graffiti wall http://t.co/Aa82ZC3FOH,"Public Art,graffiti",53.518703,-113.496638,Exterior,I don't know anything about it,Temporary,,,,YES,YES
159,1,,,Graffiti near the Edmonton COOP,41909.78958,COOP,#openartyeg http://t.co/duQAxzgDT2,Public Art,53.518827,-113.496838,Exterior,I don't know anything about it,Permanent,,,,YES,YES
158,1,,,MB jadiau art on the walls in the Strathcona farmers market,41909.78542,Strathcona Farmers Market,@StrathconaMrkt MB jadiau art on the walls #OpenArtYEG http://t.co/2ATHJRzevB,Public Art,53.519697,-113.494147,Interior Not Accessible after standard business hours,I don't know anything about it,Permanent,,,,YES,YES
134,1,,,Norwood school entry stone detailing #openartyeg h...,41910.74375,Norwood School,Norwood school entry stone detailing #openartyeg http://t.co/rDsJ0NNrj0,"Mainly Historical,Trusted Reports",53.560204,-113.487804,Exterior,I don't know anything about it,Permanent,,,,YES,YES
135,1,,,Stadium food store mural,41910.74236,11115 95st,Stadium food store mural 11115 95st #openartyeg http://t.co/ZDxfP6Dfba,"Public Art,Trusted Reports",53.560833,-113.487135,Exterior,I don't know anything about it,Permanent,,,,YES,YES
136,1,,,Codyville - all dressed up for Halloween,41910.74028,Codyville,Codyville - all dressed up for Halloween 11227 95st #openartyeg http://t.co/IizrCMB4em,"Weird or Wacky,Trusted Reports",53.561891,-113.48719,Exterior,I don't know anything about it,Temporary,,,,YES,YES
137,1,,,Wall mural on CSU52 office,41910.73889,Post Office,Wall mural on CSU52 office 113 av & 95 st #openartyeg http://t.co/sRjgY88A2y,"Public Art,Trusted Reports",53.5634,-113.487249,Exterior,I don't know anything about it,Permanent,,,,YES,YES
157,1,,,Strathcona Farmers Market East entrance,41909.78333,Strathcona Farmers Market East entrance,Entrance to @StrathconaMrkt #openartyeg http://t.co/NwyEZk7dqQ,Public Art,53.520237,-113.495086,Exterior,I don't know anything about it,Permanent,,,,YES,YES
156,1,,,Magpie themed murals 2,41909.78333,Near strathcona farmers market,#openartyeg mural @StrathconaMrkt http://t.co/XVcW32tSex,Public Art,53.520256,-113.494857,Exterior,I don't know anything about it,Permanent,,,,YES,YES
155,1,,,Magpie themed murals,41909.78264,Near strathcona farmers market,Magpie themed murals #openartyeg @StrathconaMrkt http://t.co/weV8a0WZzY,Public Art,53.520178,-113.495297,Exterior,I don't know anything about it,Permanent,,,,YES,YES
154,1,,,Mural near Strathcona Farmers Market 1,41909.78194,Near strathcona farmers market,#openartyeg mural http://t.co/he9T74kVXQ,Public Art,53.522448,-113.4949,Exterior,I don't know anything about it,,,,,YES,YES
153,1,,,Mural near Strathcona Farmers Market,41909.78125,Near strathcona farmers market,#openartyeg mural http://t.co/4AXqxye2eZ,Public Art,53.522448,-113.4949,Exterior,I don't know anything about it,Permanent,,,,YES,YES
152,1,,,"Dr. Clarence Horatio ""big"" Miller statue",41909.77986,Big Miller Park,"#openartyeg Dr. Clarence Horatio ""big"" Miller http://t.co/qYNMcOzviv",Public Art,53.521129,-113.492822,Exterior,I don't know anything about it,,,,,YES,YES
151,1,,,Strathcona Community Centre art,41909.77778,Strathcona community centre,@strathcentre #openartyeg http://t.co/HbuI4dq3xs,Public Art,53.522117,-113.492525,Exterior,I don't know anything about it,Permanent,,,,YES,YES
150,1,,,Strathcona Community Centre shed art,41909.77708,Strathcona community centre,#openartyeg @strathcentre http://t.co/4NXuDPBKoh,Public Art,53.522111,-113.492507,Exterior,I don't know anything about it,Permanent,,,,YES,YES
149,1,,,Mural at Strathcona community centre,41909.77361,Strathcona community centre,Mural at Strathcona community centre #openartyeg http://t.co/9RcujkpbiV,Public Art,53.523348,-113.493216,Exterior,I don't know anything about it,Permanent,,,,YES,YES
148,1,,,power box art near whyte,41909.76597,Whyte Ave,#openartyeg power box near whyte http://t.co/ShOxu7X2n2,Public Art,53.518611,-113.511858,Exterior,I don't know anything about it,Permanent,,,,YES,YES
147,1,,,cool powerbox drawing,41909.76458,Esso at Whyte,#OpenArtYEG cool powerbox drawing http://t.co/bNSG8w7tYV,Public Art,53.517627,-113.512015,Exterior,I don't know anything about it,Permanent,,,,YES,YES
146,1,,,cool epcor powerbox art by the places,41910.72569,South Edmonton,#openartyeg cool epcor art by the places http://t.co/FxCLenp86v,Public Art,53.497832,-113.511702,Exterior,I don't know anything about it,Permanent,,,,YES,YES
132,1,,,Mural,41910.10486,"South corner of 102 Ave and 125 St,",Backyard of the pastry shop - this is being verified and will include a pic,"Public Art,Mainly Historical,Weird or Wacky,Trusted Reports",53.542673,-113.537487,Exterior,I don't know anything about it,Permanent,Luba,Lubchenko,lubarom@yahoo.com,YES,NO
131,1,,,The Gathering,41910.84931,"Corner of 102 Ave and 125 St,","Designed and created by Sam Cupelli.
November 2005.
From:
http://edmontonphotos.wordpress.com/2010/07/26/the-gathering-by-sam-cupelli/
From my edmonton blog.","Public Art,Mainly Historical,Weird or Wacky,Trusted Reports",53.542743,-113.537873,Exterior,I don't know anything about it,Permanent,Luba,Lubchenko,lubarom@yahoo.com,YES,YES
130,1,,,Dedication,41910.06597,Territory of Royal Alberta Museum,"The sculpture is a gift to the people of Alberta to honor the pioneer-immigrants of germanic descent, who have contributed to the growth and prosperity of Alberta. Sculpture created by professor Harry Wohlfarth and installed on March 27.
Untitled - Royal Alberta Museum
Artist Harry Wohlfarth
Photo credit Rachel J Photography","Public Art,Mainly Historical,Weird or Wacky,Trusted Reports",53.541919,-113.544155,Exterior,I don't know anything about it,Permanent,Luba,Lubchenko,lubarom@yahoo.com,YES,YES
129,1,,,Convergence,41910.79375,Victoria Promenade,"Victoria Promenade
Artist Tony Bloom (Alberta)","Public Art,Mainly Historical,Weird or Wacky,Trusted Reports",53.539129,-113.523204,Exterior,I don't know anything about it,Permanent,Luba,Lubchenko,lubarom@yahoo.com,YES,YES
128,1,,,New vision series 12 by Seka Owen 1998,41908.8125,Don Wheaton YMCA,New vision series 12 by Seka Owen 1998 #openartyeg http://t.co/lKVVDFCuun,Public Art,53.542988,113.496928,Interior,I don't know anything about it,,,,,YES,YES
127,1,,,Flowers,41908.8125,Don Wheaton YMCA,Flowers @DonWheatonYMCA #openartyeg http://t.co/BwPma0AqDp,Public Art,53.542961,-113.496951,Interior,I don't know anything about it,Permanent,,,,YES,YES
125,1,,,Lucille Frost 2014 Uncanny Breach,41908.81111,Don Wheaton YMCA,Lucille Frost 2014 Uncanny Breach @DonWheatonYMCA #openartyeg http://t.co/nlwK8HzYbk,Public Art,53.542937,-113.496837,Interior,I don't know anything about it,Permanent,,,,YES,YES
124,1,,,Sir Winston Churchill square #1 by Bruce Allen,41908.81042,Don Wheaton YMCA,Sir Winston Churchill square #1 @DonWheatonYMCA by Bruce Allen #openartyeg http://t.co/0CutfCbvoy,Public Art,53.542938,-113.496825,Interior,I don't know anything about it,,,,,YES,YES
123,1,,,Edmonton panorama by Nel Kwiatkowksa,41908.80903,Don Wheaton YMCA,Edmonton panorama by Nel Kwiatkowksa @donwheatonymca #openartyeg http://t.co/0MqTupu0gk,Public Art,53.542938,-113.496825,Interior,I don't know anything about it,Permanent,,,,YES,YES
